Brand,Name,Model / code,Finish,Category,Size,Product link,Needs confirming
Newport Brass,Chesterfield 1.8 GPM Single Hole Pull Down,1030-5103/15S,Satin Nickel,Kitchen faucet,,https://www.build.com/newport-brass-1030-5103/s1316024,
Newport Brass,Chesterfield 4.5 GPM Wall Mounted Single Hole,1030-5503/15S,Satin Nickel,Pot filler,,https://www.build.com/newport-brass-1030-5503/s1452351,
Elkay,"Quartz Classic 33"" Undermount Single Basin Quartz Composite",ELGRU13322WH0C,White,Kitchen sink,"33""",https://www.build.com/elkay-elgru13322c/s1736251,
InSinkErator,Advanced 3/4 HP Continuous Feed Food Waste,79850K-ISE,,Garbage disposal,,,
InSinkErator,Air Switch for Countertop with Dual Outlet,76696,White,Garbage disposal,,,
American Standard,Edgemere 1.2 GPM Widespread Bathroom Faucet with Pop-Up Drain Assembly,7018801.295,Brushed Nickel,Bath faucet,,https://www.build.com/american-standard-7018-801/s1327270,
Pfister,Colfax 1.2 GPM Widespread Bathroom Faucet,LG49-COL0K,Brushed Nickel,Bath faucet,,https://www.build.com/pfister-lg49-col0/s1865100,
Miseno,"Mia Widespread Bathroom Faucet, includes brass push-pop drain assembly",MNO1343LZBN,Brushed Nickel,Bath faucet,,https://www.build.com/miseno-mno1343l/s1903573,
Kohler,Ladena Undermount Bathroom Sink with Overflow,K-2214-0,White,Bath sink,"20-7/8"" x 14-3/8"" x 8-1/8""",https://www.build.com/kohler-k-2214/s560374,
Kohler,"Leap One-Piece Elongated Smart Toilet, Dual Flush",K-28529-0,,Toilet,,https://www.kohler.com/en/products/toilets/shop-toilets/leap-one-piece-elongated-smart-toilet-dual-flush-28529,CONFIRM: spec book links the product page; the card's own model line was not legible in the PDF text.
Toto,MS624124CEFG one-piece toilet,MS624124CEFG,,Toilet,,https://www.build.com/toto-ms624124cefg/s1444488,"CONFIRM: taken from the spec book's product link, not from a printed model line. Ferguson bid B518555 shows TMS624124CEFG01."
Brizo,Invari H2Okinetic Multi-Function Slide Bar Hand Shower,88776-NK,Brilliance Luxe Nickel,Shower system,,https://www.brizo.com/bath/product/88776-NK,
Brizo,"Invari 7-5/8"" H2Okinetic Round Multi-Function Shower Head, 2.5 GPM",87476-NK-2.5,Brilliance Luxe Nickel,Shower system,"7-5/8""",https://www.brizo.com/bath/product/87476-NK-2.5,
Brizo,"Atavis 6.5"" Shower Arm and Flange",RP100762NK,Brilliance Luxe Nickel,Shower system,"6.5""",https://www.brizo.com/bath/product/RP100762NK,
Brizo,Invari Pressure Balance Valve with Integrated 3-Function Diverter Trim,T75P576-NKLHP,Brilliance Luxe Nickel,Shower system,,,
Pfister,Transitional Round 5-Function Shower Head,USH-52SHWK,Brushed Nickel,Shower system,,https://www.pfisterfaucets.com/bathroom/product/transitional-round-ush-52shw-5-function-showerhead,
Pfister,Transitional Round Multi-Function Hand Shower,HSC-05SHWK,Brushed Nickel,Shower system,,,
Pfister,Modern Round Shower Arm and Flange,USC-20SHWK,Brushed Nickel,Shower system,,https://www.pfisterfaucets.com/bathroom/product/modern-round-usc-20shw-shower-arm-flange,
Pfister,Modern Round Slide Bar,HSK-40SHWK,Brushed Nickel,Shower system,,https://www.pfisterfaucets.com/bathroom/product/modern-round-hsk-40shw-slide-bar,
Miseno,"Mia Pressure Balanced Shower System with 2.0 GPM Rain Head, Hand Shower, Slide Bar and Shower Arm",MS-550425-S-SBHS-BN,Brushed Nickel,Shower system,,https://www.build.com/miseno-ms-550425-s-sbhs/s1635132,"Quoted as six parts: MNOSB100ZBN slide bar, MNOSA225ZBN arm, MNOHS570ZBN hand shower, MNOHSH100ZBN hose, MNOSH425HZBN head, MNORWS200ZBN wall supply."
Wyndham Collection,"Rebecca 60"" Free Standing Acrylic Soaking Tub with Center Drain, Drain Assembly and Overflow",WCOBT101460SWTRIM,White / Shiny White Trim,Tub,"60""",https://www.build.com/wyndham-collection-wcobt101460/s1427103,
Brizo,Invari Single-Handle Floor Mount Tub Filler,T70176-NKLHP,Brilliance Luxe Nickel,Tub filler,,https://www.brizo.com/bath/product/T70176-NKLHP,Handle kit HL7076-NK is a separate line.
Infinity Drain,"LTD 5 Center Drain Kit with PVC Drain Body, 2"" Outlet",LTD5-2P SS,Stainless Steel,Shower drain,"5"" x 5""",,
Outdoor Shower Company,"8"" Shower Head Wall Mount Shower",FTA-W52-C,316 Stainless Steel,Outdoor shower,"8""",,316 stainless is the point this close to salt air.
American Standard,"Edgemere 7.25"" Towel Ring",7018190.295,Brushed Nickel,Bath accessories,"7.25""",,
American Standard,Edgemere Tissue Holder,7018230.295,Brushed Nickel,Bath accessories,,https://www.build.com/american-standard-7018-230/s1327269,
Brizo,"24"" Towel Bar",692476-NK,Brilliance Luxe Nickel,Bath accessories,"24""",https://www.brizo.com/bath/product/692476-NK,
Brizo,"8"" Towel Bar",694776-NK,Brilliance Luxe Nickel,Bath accessories,"8""",https://www.brizo.com/bath/product/694776-NK,
